title,date_posted,price,location,link
Side Fins,8/25/2020 10:32,$15 , (Kailua),https://honolulu.craigslist.org/oah/spo/d/kailua-side-fins/7176261569.html
,,,,
9’6 1/2 HANK BYZAK,8/25/2020 7:16,"$1,250 ", (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-hank-byzak/7176498616.html
,,,,
Pyzel - Bastard,8/24/2020 10:46,$0 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-pyzel-bastard/7183593529.html
,,,,
Surfboard longboard 8'0 new delivered all Oahu,8/24/2020 9:46,$145 , (Laie),https://honolulu.craigslist.org/oah/spo/d/kahului-surfboard-longboard-80-new/7173321674.html
,,,,
6'8 Mendoza (Available) & 9' Firewire Longboard Surfboard (Sold),8/24/2020 4:42,$250 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-68-mendoza-available-9/7169846130.html
,,,,
Surfboard Bag—Used,8/23/2020 17:43,$40 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-surfboard-bagused/7183148385.html
,,,,
Lost Surf Fins—-Futures medium,8/23/2020 17:37,$75 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-lost-surf-fins-futures-medium/7183146795.html
,,,,
Dakine Longboard Sock,8/23/2020 17:26,$50 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-dakine-longboard-sock/7183143968.html
,,,,
Surfboard 5'10 Arakawa Hawaii,8/23/2020 12:31,$199 , (Haleiwa),https://honolulu.craigslist.org/oah/spo/d/haleiwa-surfboard-510-arakawa-hawaii/7165432750.html
,,,,
5'4 Mini Simmons,7/26/2020 10:26,$600 , (Aina Haiana),https://honolulu.craigslist.org/oah/spo/d/honolulu-54-mini-simmons/7166403718.html
,,,,
5’4” custom twin fin,8/21/2020 21:42,$450 , (Sunset),https://honolulu.craigslist.org/oah/spo/d/haleiwa-54-custom-twin-fin/7180735185.html
,,,,
"Cash $$ for your beat up longboards, dirty wax preferred!",8/21/2020 13:12,$400 , (Kailua),https://honolulu.craigslist.org/oah/spo/d/cash-for-your-beat-up-longboards-dirty/7173515670.html
,,,,
"***5'10"" x 18.38"" x 2.19"" Brice Surfboard***",8/20/2020 22:27,$260 , (Mililani),https://honolulu.craigslist.org/oah/spo/d/mililani-brice-surfboard/7175895583.html
,,,,
"LIFT High Aspect 170, 200 & 250",8/19/2020 6:54,$1 , (Honolulu),https://honolulu.craigslist.org/oah/sgd/d/honolulu-lift-high-aspect/7180344831.html
,,,,
Chris Christenson 6'8 Flat Tracker 2.0 single fin midlength surfboard.,8/17/2020 19:59,$950 , (Aina Haina),https://honolulu.craigslist.org/oah/spo/d/honolulu-chris-christenson-68-flat/7179482636.html
,,,,
surfboard with extras,8/17/2020 12:52,$300 , (Kapolei),https://honolulu.craigslist.org/oah/spo/d/kapolei-surfboard-with-extras/7179330583.html
,,,,
Custom Handshaped Surfboard,8/16/2020 22:44,$450 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-custom-handshaped-surfboard/7163736657.html
,,,,
Firewire Hashtag Surfboard 5’8,8/14/2020 11:03,$350 , (Kāne’ohe),https://honolulu.craigslist.org/oah/spo/d/kailua-firewire-hashtag-surfboard-58/7162131030.html
,,,,
Surfboard 7'2 T&C Pang  Hawaii free delivery,8/13/2020 8:24,$270 , (Haleiwa),https://honolulu.craigslist.org/oah/spo/d/haleiwa-surfboard-72-tc-pang-hawaii/7159348182.html
,,,,
Surfboard 6'5 Johnston Hawaii very good,8/13/2020 8:24,$199 , (Kahuku),https://honolulu.craigslist.org/oah/spo/d/kahuku-surfboard-65-johnston-hawaii/7159494414.html
,,,,
Tokoro 4VC 6’3” Surfboard,8/12/2020 13:44,$490 , (Kaimuki),https://honolulu.craigslist.org/oah/spo/d/honolulu-tokoro-4vc-63-surfboard/7176364131.html
,,,,
SURFBOARDS PYZEL,7/22/2020 8:31,$0 , (Kailua),https://honolulu.craigslist.org/oah/spo/d/kailua-surfboards-pyzel/7147979010.html
,,,,
7'10'' Neal Purchase Surfboard + Others,8/8/2020 12:03,$100 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-710-neal-purchase-surfboard/7173939212.html
,,,,
Surfboard 6'6 J.Poko Hawaii like new free delivery,8/7/2020 11:13,$240 , (Haleiwa),https://honolulu.craigslist.org/oah/spo/d/haleiwa-surfboard-66-jpoko-hawaii-like/7157150662.html
,,,,
Board Rack,8/7/2020 9:05,$260 , (Oahu),https://honolulu.craigslist.org/oah/spo/d/wheeler-army-airfield-board-rack/7157586424.html
,,,,
"9'0 Longboard Surfboard, excellent condition, fiberglass",8/26/2020 11:12,$750 , (Manoa),https://honolulu.craigslist.org/oah/spo/d/honolulu-90-longboard-surfboard/7184869568.html
,,,,
"9'1 Longboard Surfboard, Fiberglass, excellent condition",8/26/2020 10:58,$750 , (Kaka'ako),https://honolulu.craigslist.org/oah/spo/d/honolulu-91-longboard-surfboard/7184857660.html
,,,,
5'8 Kerry Tokoro surf board,8/26/2020 10:42,$160 , (Kaimuki),https://honolulu.craigslist.org/oah/spo/d/honolulu-58-kerry-tokoro-surf-board/7179394354.html
,,,,
Longboard 10' - Brand new surfboard,8/26/2020 10:25,"$1,000 ", (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-longboard-10-brand-new/7175773343.html
,,,,
"6'6"" Surfboard",8/26/2020 9:37,$100 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-66-surfboard/7184804763.html
,,,,
"Eric Arakawa RP surfboard 6’4 , 18.7, 2.38",8/26/2020 8:23,$400 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-eric-arakawa-rp-surfboard/7184750831.html
,,,,
8ft Wavestorm soft top surfboard and leash,8/26/2020 6:50,$75 , (Diamond Head),https://honolulu.craigslist.org/oah/spo/d/honolulu-8ft-wavestorm-soft-top/7184681956.html
,,,,
9' Blaster Surfboard,8/25/2020 21:55,$200 , (Manoa),https://honolulu.craigslist.org/oah/spo/d/honolulu-9-blaster-surfboard/7182017223.html
,,,,
Surfboard bag,8/25/2020 19:40,$50 , (Kailua),https://honolulu.craigslist.org/oah/spo/d/kailua-surfboard-bag/7184460822.html
,,,,
Shortboards,8/3/2020 15:08,$130 , (Hawaii Kai),https://honolulu.craigslist.org/oah/spo/d/honolulu-shortboards/7166975937.html
,,,,
New Big guy surfboard,8/25/2020 16:16,$425 , (Kaneohe),https://honolulu.craigslist.org/oah/spo/d/kaneohe-new-big-guy-surfboard/7184408708.html
,,,,
torq merrick pod mod xlite 6'2 surfboard,8/25/2020 9:39,$599 , (Kailua),https://honolulu.craigslist.org/oah/spo/d/kailua-torq-merrick-pod-mod-xlite-62/7170400871.html
,,,,
Wavestorm 8ft Classic Surfboard - BRAND NEW,8/25/2020 9:38,$180 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-wavestorm-8ft-classic/7175184738.html
,,,,
Torq 11' soft top Surfboard,8/25/2020 9:33,$799 , (Kailua),https://honolulu.craigslist.org/oah/spo/d/kailua-torq-11-soft-top-surfboard/7170397789.html
,,,,
"SUP, Surfboard,Kayak Stands",8/24/2020 17:45,$35 , (Nuuanu),https://honolulu.craigslist.org/oah/spo/d/honolulu-sup-surfboardkayak-stands/7170029847.html
